,Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
1008,Relationship Lead,"Chennai, Tamil Nadu",Full Time,eCommerce Operations Department,3 May 2023,4.0,4.0,3.0,4.0,4.0,4.0,3.0,good absence hospitality,organisation structure need to change
1010,Civil Foreman Supervisor,Mumbai,Full Time,Construction Engineering Department,3 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,maintain rules and regulations and safety first i like it,nothing
1011,Finance Executive   (working remotely),,Full Time,Banking Operations Department,2 May 2023,3.0,2.0,5.0,4.0,3.0,5.0,3.0,work are each lata but by but pressure data had hum rejoin anna choate had,health issue
1012,Assistant Construction Manager,Patna Bihar,Full Time,Construction Engineering Department,3 Jul 2023,5.0,3.0,5.0,4.0,4.0,5.0,4.0,salary on time good benefit,no
1013,Electrical Engineer(mep),"Gorakhpur, Uttar Pradesh",Full Time,Payroll & Transactions Department,2 May 2023,5.0,4.0,5.0,5.0,5.0,5.0,5.0,very nice,time issue evening time 9 pm
1014,Civil Supervisor (finishing Supervisor),Mumbai,Full Time,Construction Engineering Department,2 May 2023,5.0,4.0,4.0,3.0,4.0,4.0,4.0,all are working as a team,my appraisal based on my seniors
1015,Procurement Engineer,"Hyderabad/Secunderabad, Telangana",Full Time,Procurement & Purchase Department,2 May 2023,4.0,2.0,4.0,5.0,4.0,5.0,3.0,best company to work,nothing as such as of now
1016,Assistant Manager Civil,New Delhi,Full Time,Construction Engineering Department,2 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,working culture,working hours is more
1017,Mechanical Chargehand,"Gurgaon/Gurugram, Haryana",Full Time,"Operations, Maintenance & Support Department",2 May 2023,5.0,3.0,5.0,4.0,5.0,4.0,3.0,best construction company for excellent work quality and best work culture environment,site planning is need to improve
1018,Assistant Manager,Chennai,Full Time,Occupational Health & Safety Department,1 May 2023,1.0,1.0,2.0,1.0,3.0,2.0,1.0,no likes,no time limit
1019,Foreman,"Patiala, Punjab",Contractual,Construction Engineering Department,2 May 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equipment of company,management is very poor
1020,Assistant Store Manager,Mumbai,Full Time,Stores & Material Management Department,1 May 2023,5.0,4.0,5.0,5.0,5.0,4.0,4.0,get to learn something new for daily basis,a fraud company with nothing to like dictator s company
1021,Accountant,"Bhubaneswar, Odisha",Full Time,Accounting & Taxation Department,1 May 2023,1.0,1.0,1.0,1.0,3.0,1.0,1.0,racism company dictator are everywhere in it,salary high
1022,Collection Executive,"Jhansi, Uttar Pradesh",Full Time,Banking Operations Department,0 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,3.0,appraisal below 10 percent,the transparent of the management is very good
1023,Civil Engineer,"Subarnapur, Odisha",Full Time,Construction Engineering Department,0 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,to my knowledge is nothing,i like this company l am joint
1024,Civil Supervisor   (working remotely),,Full Time,Banking Operations Department,0 May 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,no for the dislikes l will understand all rules,higher management support towards eh implementation
1025,Safety Engineer,"Indore, Madhya Pradesh",Full Time,Community Health & Safety Department,0 May 2023,4.0,3.0,4.0,4.0,4.0,4.0,3.0,site management,good for learning and earning experiences
1026,Construction Manager (Elect),"Ramban, Jammu & Kashmir",Full Time,Construction Engineering Department,0 May 2023,5.0,3.0,5.0,4.0,4.0,4.0,4.0,site management system and poor he policy,good benefits learning
1027,Site Engineer,Chennai,Full Time,Construction Engineering Department,0 May 2023,4.0,3.0,3.0,4.0,4.0,4.0,3.0,work life balance working hours,good company
1028,Senior Engineer,"Gurgaon/Gurugram, Haryana",Full Time,Construction Engineering Department,0 May 2023,4.0,4.0,4.0,3.0,4.0,3.0,3.0,but work culture is very poor social life is 0,everything good
1030,Excavator Operator   (working remotely),,Part Time,"Operations, Maintenance & Support Department",9 May 2023,5.0,5.0,4.0,4.0,4.0,4.0,3.0,this is the best company ever,have trouble community to duty
1031,Service Engineer,Mumbai,Part Time,"Operations, Maintenance & Support Department",9 May 2023,4.0,3.0,4.0,4.0,5.0,4.0,3.0,company culture is good all ok,nothing is dislike all ok
1032,Asst. Manager - Ehs,"Ahmedabad, Gujarat",Full Time,Community Health & Safety Department,9 May 2023,5.0,4.0,4.0,4.0,5.0,5.0,4.0,eh procedure,no idea just joined
1033,Deputy General Manager  MEP,Chennai,Full Time,Operations Department,9 May 2023,4.0,4.0,4.0,3.0,5.0,5.0,3.0,great company culture and treatment form higher management,salary is on time no delay in salary
1034,Construction Management,"Jammu, Jammu & Kashmir",Full Time,Construction / Manufacturing Department,9 May 2023,3.0,1.0,1.0,4.0,2.0,3.0,3.0,work life balance is nail,very good
1035,Senior Surveyor,"Mumbai, Maharashtra",Full Time,Surveying Department,9 May 2023,5.0,5.0,5.0,5.0,4.0,5.0,5.0,sunday deputy and not leave approve,job responsibilities continuous training learning facilities
1036,Assistant Construction Manager,Chennai,Full Time,Construction / Manufacturing Department,9 May 2023,4.0,3.0,5.0,5.0,5.0,4.0,4.0,work culture,training and job security
1037,Planning Engineer,New Delhi,Full Time,Construction Engineering Department,9 May 2023,3.0,1.0,4.0,4.0,5.0,2.0,3.0,work life balance,i like culture of this company
1038,Survey Engineer,"Surat, Gujarat",Contractual,Surveying Department,8 May 2023,4.0,4.0,4.0,3.0,3.0,4.0,3.0,no,i feel good to do work in l t l t safety is good for all
1040,Floor Associate,Bilaspur Kota,Full Time,Banking Operations Department,5 May 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no not like in l t work,working time is very wrong
1041,Senior Engineer,"Vadodara, Gujarat",Full Time,Power and utility  Department,8 May 2023,2.0,1.0,1.0,1.0,3.0,1.0,1.0,nothing except name,everything except name
1042,Senior Engineer In Quality,"Mumbai Suburban, Maharashtra",Full Time,Business Process Quality Department,8 May 2023,4.0,3.0,3.0,4.0,5.0,4.0,3.0,overall as professional life in working is good,partiality
1043,Assistant Manager,"Mumbai, Maharashtra",Full Time,Production & Manufacturing Department,8 May 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,employee skill development,site compensation
1044,Assistant Manager IR And Admin,Vadodara,Full Time,Operations Support Department,7 May 2023,4.0,3.0,1.0,4.0,2.0,3.0,2.0,payment term silent,rating system not satisfied
1045,Store Executive,"Pune, Maharashtra",Full Time,Stores & Material Management Department,7 May 2023,3.0,4.0,4.0,2.0,5.0,4.0,3.0,culture is good,salary and growth for diploma holder not here
1046,Engineer,Bengaluru/Bangalore,Full Time,Engineering Department,7 May 2023,5.0,5.0,4.0,4.0,4.0,4.0,4.0,it s very good company to work,nothing
1047,Senior Planning Engineer,"Surat, Gujarat",Full Time,Engineering Department,7 May 2023,5.0,2.0,5.0,5.0,5.0,4.0,3.0,benefits and company system,no work life balance no personal life
1048,Quality Control Engineer,Africa,Full Time,Construction Engineering Department,7 May 2023,4.0,3.0,4.0,4.0,2.0,3.0,3.0,good platform for skill development and learning,working hours more than 12 hours work pressure
1049,Associate Design & Draft,"Coimbatore, Tamil Nadu",Full Time,Engineering Department,7 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,did kldld ll dksklslss sksksk,didn sister skin skin skin
1050,Senior Store Incharge,Chennai,Full Time,Stores & Material Management Department,7 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,excellent,i am dislike about my working hours
1051,Asst. Engg Manager,Vadodara,Full Time,Energy & Mining Department,6 May 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,nice working environment,unable to leave organization
1052,Qa Qc Engineer,"Surat, Gujarat",Full Time,Production & Manufacturing Department,6 May 2023,3.0,3.0,4.0,3.0,4.0,3.0,2.0,job security,work life balance
1053,Site Supervisor,"Patna, Bihar",Full Time,Construction / Manufacturing Department,6 May 2023,3.0,1.0,2.0,2.0,1.0,1.0,1.0,very good company we liked its management very much,no
1054,Assistant Construction Manager,Vishakhapatnam,Full Time,Construction Engineering Department,6 May 2023,5.0,3.0,4.0,4.0,3.0,4.0,3.0,monthly salary on time,working timing is more as compared
1055,Territory Manager,"Koraput, Odisha",Full Time,Operations Department,6 May 2023,2.0,2.0,1.0,3.0,1.0,1.0,1.0,some management authority are there,process and policy
1056,Store Supervisor,Bengaluru/Bangalore,Full Time,Stores & Material Management Department,6 May 2023,5.0,5.0,4.0,4.0,5.0,4.0,4.0,respect,a senior staff does not like to speak disrespectfully to a junior staff
1057,Qa Qc Engineer,"New Delhi, Delhi",Full Time,Construction Engineering Department,6 May 2023,4.0,1.0,5.0,4.0,5.0,5.0,3.0,benefits are very good on time salary,working tidings no week off high workload
1058,Plumber,"Korba, Chhattisgarh",Full Time,Facility Management Department,5 May 2023,4.0,4.0,4.0,4.0,5.0,5.0,4.0,great environment learning management as also helpful,no dislike at ad
1059,Team Lead,Chennai,Full Time,Facility Management Department,5 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,all a job security place to learn,nothing
1060,Scaffolder,"Jamshedpur, Jharkhand",Full Time,Back Office Department,5 May 2023,4.0,2.0,4.0,1.0,2.0,4.0,3.0,yes 100,every thing ok
1061,Planning & Billing Engineer,"Bulandshahr, Uttar Pradesh",Contractual,Construction Engineering Department,6 May 2023,5.0,2.0,5.0,1.0,1.0,5.0,1.0,there is a lot to learn in this company,this company does not early promote talented departmental person to permanent staff
1062,Production Designer,"Mumbai, Maharashtra",Intern,Industrial design  Department,5 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,it s nice and very helpful,i didn t come across any
1063,Developer,Chennai,Full Time,Data Science & Analytics Department,5 May 2023,3.0,2.0,4.0,2.0,5.0,3.0,2.0,there is a lot to learn if we are eager,he policies are the worst
1064,Design Engineer,Chennai,Full Time,Engineering & Manufacturing Department,4 May 2023,4.0,4.0,3.0,3.0,3.0,4.0,3.0,work culture is very good as expected,likes are not that much as expected
1065,Qa Qc Engineer,Chennai,Full Time,Engineering Department,4 May 2023,5.0,4.0,4.0,4.0,4.0,4.0,4.0,skill development,occasionally working hours
1066,Civil Supervisor,"Kota, Rajasthan",Full Time,Life Insurance Department,3 May 2023,3.0,3.0,4.0,2.0,4.0,3.0,2.0,good no anyone s,no anyone s
1067,Audit Executive,Mumbai,Contractual,Audit & Control Department,3 May 2023,5.0,4.0,4.0,4.0,4.0,4.0,4.0,employee employer relationship,pay scale is average
1068,Graduate Engineer,Mumbai,Full Time,Upstream Department,3 May 2023,4.0,4.0,4.0,2.0,5.0,3.0,3.0,there are unlimited learning opportunities,the work flexibility and to an extent the work culture is not the best
1069,Side Supervisor,"Medinipur, West Bengal",Part Time,Formwork  Department,2 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,yes i am working form large tour,no i am like large tour working and no dislike
1070,DGM SAFETY - EHS,New Delhi,Full Time,"BFSI, Investments & Trading Department",2 May 2023,4.0,4.0,4.0,5.0,4.0,4.0,5.0,excellent management team work,emotional attachment
1071,Production Engineer,Chennai,Full Time,Production & Manufacturing Department,2 May 2023,5.0,4.0,5.0,4.0,5.0,4.0,4.0,good support from management,nothing
1072,Assistant General Manager,"Singrauli, Madhya Pradesh",Full Time,Construction / Manufacturing Department,2 May 2023,5.0,3.0,5.0,3.0,5.0,5.0,3.0,work satisfaction,compensation low as per market
1073,Construction Manager,"Surat, Gujarat",Full Time,Construction Engineering Department,2 May 2023,4.0,1.0,4.0,5.0,3.0,4.0,4.0,timely salary,work life balance too much of work pressure
1074,Document Controller,"Vadodara, Gujarat",Full Time,Upstream Department,2 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,all good nothing bad,not bad
1075,Senior Executive Operations,"Vadodara, Gujarat",Full Time,HR Operations Department,2 May 2023,5.0,4.0,5.0,4.0,5.0,5.0,4.0,opportunities work profile job security benefits,increments manual process salary structure
1076,Assistant Engineering Manager,Chennai,Full Time,Construction Engineering Department,2 May 2023,1.0,1.0,5.0,1.0,4.0,1.0,1.0,good place for technical learning,worst pay incitement policy for the lateral entries
1077,ELK Developer (Specialist - Cloud,Mumbai,Full Time,IT Security Department,2 May 2023,4.0,3.0,4.0,4.0,4.0,4.0,4.0,company is good,no one cares when you are at client location
1078,Asst Manager -IR,Vadodara,Full Time,HR Operations Department,7 May 2023,4.0,2.0,5.0,5.0,3.0,4.0,3.0,salary date incentive he functions,assessment procedure partiality unfair work culture
1079,Software Engineer,Bengaluru/Bangalore,Full Time,Quality Assurance and Testing Department,1 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good company,political in team
1080,Planning Manager,"Jodhpur, Rajasthan",Full Time,Construction Engineering Department,1 May 2023,5.0,3.0,5.0,5.0,5.0,5.0,5.0,sense of responsibilities they give,sales tormented approach to project completion
1081,Assistant Manager,Chennai,Full Time,Construction Engineering Department,1 May 2023,4.0,3.0,3.0,4.0,4.0,3.0,2.0,no delay in salary give freedom to think and implement ideas,shift in department are frequent
1082,Head,Mumbai,Full Time,"Operations, Maintenance & Support Department",1 May 2023,5.0,4.0,5.0,4.0,5.0,5.0,4.0,great place to work excellent learning opportunities,highly hierarchical and low flexibility
1083,Civil Site Engineer   (working remotely),,Full Time,Construction Engineering Department,1 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,best company,nothing is there
1084,B.B.S.,New Delhi,Full Time,Construction / Manufacturing Department,1 May 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,bar bending schedule and quantity surveying and valuation,nothing in the company to dislike
1085,Assistant Manager- Cost And Management Accountant,New Delhi,Full Time,Finance Department,1 May 2023,1.0,1.0,1.0,1.0,5.0,1.0,1.0,learning prospect is good otherwise is worst company i have experienced,everything apart from learning for freshness
1086,Senior Engineer,"Chennai, Tamil Nadu",Full Time,Construction Engineering Department,1 May 2023,5.0,5.0,4.0,5.0,5.0,5.0,5.0,salary on time and benefits,nothing
1087,Senior Production Officer,Mumbai Thane Navi Mumbai Maharashtra,Full Time,"Trading, Asset & Wealth Management Department",0 May 2023,4.0,4.0,4.0,4.0,3.0,5.0,4.0,excellent job security work balance very good safety,work life balance
1088,Senior Specialist,Bengaluru/Bangalore,Full Time,Technology / IT Department,0 May 2023,5.0,5.0,4.0,5.0,4.0,4.0,4.0,annual likes are too low,proud of its legacy
1090,Diploma Engineer Trainee,Kolkata,Full Time,Assessment / Advisory Department,5 Jun 2023,5.0,4.0,3.0,5.0,5.0,5.0,3.0,excellent behaviour to each one,over time
1091,Planning Officer,"Surat, Gujarat",Full Time,Construction Engineering Department,0 May 2023,3.0,2.0,5.0,4.0,4.0,3.0,4.0,skill development,work life balance
1092,Quality Engineer,"New Delhi, Delhi",Full Time,QA/QC Lab Engineer  Department,0 May 2023,4.0,3.0,5.0,4.0,5.0,5.0,3.0,large tour is very repeated construction company,this company working hours is not fix
1093,Site Engineer,"Jamnagar, Gujarat",Contractual,Construction Engineering Department,0 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good enter good leadership good work life balance,nothing
1094,Project Lead,Bengaluru/Bangalore,Full Time,Technology / IT Department,6 May 2023,5.0,5.0,3.0,2.0,5.0,5.0,2.0,work life balance,salary related policies
1095,Site Engineer Mechanical,Mumbai,Full Time,Construction Engineering Department,0 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,i liked any place working condition,will
1096,Senior Engineer,"Nashik, Maharashtra",Full Time,Construction Engineering Department,0 May 2023,3.0,2.0,4.0,3.0,4.0,5.0,2.0,work culture,timing and like in salary
1097,Mechanical Engineer,Chennai,Full Time,Engineering Department,0 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,how much will i say about this organisation that will be minimum just in one word l t is the no 1 company for engineers,no dislike
1098,Assistant Construction Manager   (working remotely),,Full Time,Construction Engineering Department,0 May 2023,5.0,3.0,5.0,5.0,5.0,5.0,3.0,system of l t,no humanity
1099,Mechanical Engineer,Mumbai,Full Time,Plant and machinery Dept Department,0 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,standard staff well fair and facilities are provided by the company l t is a brand people always feel better with brand,i love l t
1100,Safety Officer,Kolkata,Full Time,Occupational Health & Safety Department,0 May 2023,2.0,3.0,1.0,1.0,1.0,1.0,1.0,works good falsity provide,falsity not provide side area
1101,Qaqc Engineer,"Singrauli, Madhya Pradesh",Full Time,Business Process Quality Department,0 May 2023,4.0,3.0,4.0,4.0,5.0,4.0,4.0,timely salary and benefits,work and personal life balance not meet
1102,Assistant Manager Operations,"Faridabad, Haryana",Full Time,Operations Department,0 May 2023,5.0,4.0,4.0,5.0,5.0,4.0,4.0,large company with all system in place,system is not used at many times
1103,Maintenance Manager,"Panipat, Haryana",Full Time,"Operations, Maintenance & Support Department",9 May 2023,5.0,4.0,5.0,5.0,5.0,4.0,4.0,yes ethics,work life balance
1104,Powai Mumbai400072,Powai Mumbai,Full Time,Engineering Department,9 May 2023,4.0,3.0,3.0,3.0,4.0,4.0,3.0,working for nation,salary and peaks benefits variance is high for equal level of experience
1105,Junior Mechanical Engineer,"Bhuj, Gujarat",Full Time,Construction Engineering Department,0 May 2023,5.0,4.0,5.0,4.0,5.0,5.0,5.0,every thinking good,every claim money let provided
1106,Assistant Engineering Manager - Electrical,Chennai,Full Time,Construction Engineering Department,9 May 2023,3.0,1.0,4.0,2.0,3.0,2.0,1.0,improving skill and continuous learning in both technical and non technical,salary and work life balance
1107,Mechanical Foreman,Mumbai,Full Time,"Operations, Maintenance & Support Department",8 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,i liked l t culture and co staff behavior,labour and departmental staff residential culture not good
1108,Scm Manager,Mumbai,Full Time,SCM & Logistics Department,8 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,3.0,food work culture grm,alternate saturday working in company
1109,Supervisor,New Delhi,Full Time,After Sales Service & Repair Department,3 Jun 2023,5.0,5.0,5.0,5.0,5.0,4.0,4.0,perfect balanced organisation,politics of college
1110,Mecanical Fitter And Ats.,"Mysuru/Mysore, Karnataka",Full Time,Construction / Manufacturing Department,7 May 2023,4.0,4.0,5.0,4.0,4.0,4.0,4.0,hydraulic works,men display working hours
1111,Foreman/supervisor,Kolkata,Contractual,Construction Engineering Department,0 May 2023,5.0,5.0,4.0,4.0,3.0,5.0,2.0,yes i like work with let,no i am not sure about
1112,Technical Writer,Mumbai,Full Time,Documentation and Training  Department,4 Jun 2023,4.0,4.0,3.0,4.0,4.0,3.0,4.0,it s an indian defence mac old,not much to be disliked
1113,Site Engineer   (working remotely),,Full Time,Construction Engineering Department,5 May 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,yes this company is very good,no but working time is very long
1114,Ohe Engineer,Panchali Tss Near By Umroli Railway Station LC 50,Full Time,Construction Engineering Department,7 Jul 2023,4.0,5.0,4.0,4.0,4.0,4.0,4.0,company is very good and them working all work culture is very good,no comments
1115,Quality Engineer,Dhananshu Ludhiana,Full Time,Quality Assurance and Testing Department,1 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good opportunity in let life during job good job with the stop,all is well
1116,Cae Engineer,Vadodara,Full Time,Engineering Department,2 May 2023,1.0,1.0,1.0,1.0,3.0,1.0,1.0,there is nothing to be liked here,he manners are very rude
1117,Design Engineer,"Pune, Maharashtra",Contractual,Engineering & Manufacturing Department,7 Jun 2023,5.0,4.0,5.0,5.0,5.0,4.0,5.0,work satisfaction learning,heating deadline pressure
1118,Assistant Manager - Manufacturing And Industry 4.0,Surat,Full Time,Engineering Department,1 Aug 2023,3.0,3.0,4.0,2.0,4.0,3.0,1.0,free to take decisions exposure skill development,appraisal systems rewards compensation and like
1119,HRW COORDINATOR,Chennai,Full Time,Administration Department,2 Jun 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,there are lots n lots to learn on a daily basis,nothing to say
1120,Sr. Engineer - EHS,Mumbai,Full Time,Occupational Health & Safety Department,1 Jul 2023,4.0,3.0,5.0,3.0,5.0,3.0,3.0,opportunity for self development,not getting appreciation
1121,Supply Chain Executive,Chennai,Full Time,Engineering Department,9 Jun 2023,3.0,4.0,2.0,3.0,5.0,3.0,3.0,not willing to say,not willing to say
1122,Production Engineer,Hazira,Full Time,Construction / Manufacturing Department,2 Jun 2023,3.0,5.0,5.0,3.0,3.0,3.0,3.0,training and learning and work culture,salary growth and promotion
1123,Planning Engineer,Chennai,Full Time,Planning Engineer  Department,4 Jun 2023,3.0,2.0,4.0,2.0,5.0,2.0,1.0,learning opportunities skill development,work culture politics work life balance
1124,Civil Engineer 2,"Patna, Bihar",Part Time,IT & Information Security Department,3 May 2023,5.0,5.0,5.0,5.0,4.0,5.0,5.0,very good,large tour is very good company has learned a lot working in it
1125,Assistant Manager Hse,New Delhi,Full Time,Community Health & Safety Department,3 Jun 2023,5.0,5.0,5.0,4.0,5.0,4.0,4.0,working culture is good,the appraisal needs to be more fair
1126,Hr And Industrial Relations Manager,"Varanasi, Uttar Pradesh",Full Time,Employee Relations Department,7 May 2023,4.0,4.0,4.0,5.0,5.0,4.0,3.0,standard policy and practice,response level is very slow at all level
1127,Assistant Manager,Rishikesh,Full Time,,6 Jun 2023,1.0,1.0,2.0,4.0,1.0,1.0,2.0,old people thinking company is own old people treated with new employee like personal servant,all think dislike
1128,Senior Surveyor,Delhi,Full Time,,5 Jun 2023,5.0,5.0,4.0,5.0,5.0,5.0,5.0,all company system is excellent,no any dislike point
1129,Assistant Surveyor,Chennai,Full Time,Construction Engineering Department,2 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good to learn new things,working hours a little hard
1130,Safety Officer,"Hyderabad/Secunderabad, Telangana",Contractual,Occupational Health & Safety Department,5 Apr 2023,5.0,5.0,5.0,2.0,3.0,5.0,2.0,i like all the perspective of this prestigious organisation the protocol the ethics the management the hierarchy everything is just superb as per my opinion company itself provides quality education training programs and lots of mortification courses for self development which i love the most apart from that the brand name the challenges in projects can help you out immensely to broaden our capabilities read more,it s not like just disliking the organisation but to be practical though the company not provided any facilities like good accommodation and salary incitement for department under sub contractor staff
1131,Qa Qc Engineer,Mumbai,Contractual,Construction Engineering Department,4 May 2023,5.0,4.0,5.0,4.0,4.0,5.0,4.0,i am currently working here as a quality engineer l t is too good for me comparison my previous organisation all are here working as a professionally and support each other our senior is to good in technically and trained us after all i would like to suggest every one if you have an opportunity then you should join and work with l t thanks sunday human,i m facing many problems from account department accommodation transportation etc thanks sunday human
1132,Construction Manager Civil,"New Delhi, Delhi",Full Time,Construction Engineering Department,1 May 2023,3.0,3.0,3.0,3.0,4.0,3.0,3.0,salary on time medical insurance job security of knoll staff only,1 this company need while color qualified labors not professional engineers 2 colonial mind set of management 3 disuse of company resources by top management for their personal use like vehicles office boys 4 management more dependent on supervisors and foremen than engineers 5 very poor appraisal system 6 promotions and increments will be for muttering people
1133,Safety Officer,"Sonipat, Haryana",Full Time,Occupational Health & Safety Department,7 Apr 2023,5.0,5.0,5.0,2.0,3.0,2.0,2.0,right technology machines good experience in l t lot s of new things i can learn from l t it is my best experience of my life in safety officer journey,salary didn t given on time and dont give facilities to safety steward even didn t give a cup of tea and didn t give any house anything other thing to safety steward and not any place where safety steward rest in working for few minutes
1134,Site Engineer,"Agartala, Tripura",Full Time,Construction Engineering Department,0 Feb 2023,5.0,3.0,5.0,4.0,5.0,5.0,5.0,i like all the perspective of this prestigious organisation the protocol the ethics the management the hierarchy everything is just superb as per my opinion company itself provides quality education training programs and lots of mortification courses for self development which i love the most apart from that the brand name the challenges in projects can help you out immensely to broaden our capabilities read more,it s not like just disliking the organisation but to be practical though the company provides you immense career growth lots of opportunities benefits but apart from that good part it is very difficult to maintain work and personal life so far this is probably the one little drawback
1135,Front Line Officer,Chennai,Full Time,Banking Operations Department,7 May 2023,4.0,4.0,5.0,2.0,4.0,4.0,3.0,l t company is very standard and multinational company i was l t staff so am very happy,dislike is financial services department t is very risk and higher officer is very pressure only salary very low is front line officer balance all financial staff is very high salary financial services departments main point and first staff is flow but salary is very low
1136,Planning Engineer,"Meerut, Uttar Pradesh",Full Time,Construction Engineering Department,4 Feb 2023,4.0,3.0,5.0,4.0,4.0,3.0,3.0,two things which i like the most that company provide so much facilities to its employees another thing that company give so much content and training program for learning and growth further in career,the culture is not good here actually it varies project to project and i would say that it mostly depends upon the management higher authority which are so much selfish for there wealth it s true i am only working because i am not getting good opportunity to switch my job however i am sure that i will change one day not this management but my job
1137,Engineer,Bengaluru/Bangalore,Contractual,Construction Engineering Department,4 Jan 2023,3.0,1.0,4.0,1.0,3.0,2.0,3.0,on time salary only company is good,1 no work life balance 2 etc fixed term contract employees has no benefits but they have to work equally with permanent employees 3 no proper tidings for site engineers 4 no of bosses are more but working staff are less 5 only accommodation provided but food not provided 6 n number of departments are there for name sake but every work should done site engineer only lot of problems are there your freedom and peace of work depends on your immediate boss read more
1138,Manager,"Faridabad, Haryana",Full Time,Engineering Department,7 May 2023,4.0,4.0,5.0,3.0,4.0,4.0,3.0,nice structures organisation with lot of potential to grow and become a top talent with time promotion are provided and being patient will ultimately reward ones career,slow to move and sometimes feels like decision are paralyzed lots of bureaucracy even for good intentions for project works which will ultimately be for the companies benefit
1139,Project Accountant,"Bhubaneswar, Odisha",Full Time,Accounting & Taxation Department,2 May 2023,5.0,4.0,5.0,5.0,5.0,5.0,4.0,staff welfare in this company is very good we are getting ha for family insurance medical facility vehicle etc training and development program picnic tour party good facilities for lady staff,there are many system for every work for every thing we have to go through a long process work pressure will be always normal working time 9 am to 9 pm
1140,Manager,Chennai,Full Time,,4 Jan 2023,2.0,2.0,5.0,1.0,4.0,1.0,3.0,you will be challenged everyday as an engineer with the complexity of projects your patience level be developed multi folded,high etc and lesser inland lower cares will be kept in dark on their career defining management decisions still an orthodox reporting system lack of flexibility in work timing promoting higher officials who are proved to be saddistic in behaviour will conduct lot of survey for employee satisfaction and won t implement anything substantial for improving employee satisfaction level finally company believes that employees are leaving the organisation because of bad managers and not because of low salaries ultimately there are no steps against the bad managers and low salary structure result is there is an exudes of experienced employees read more
1141,Senior Civil Engineer,Bengaluru/Bangalore,Full Time,Construction Engineering Department,2 Dec 2022,3.0,1.0,2.0,4.0,5.0,1.0,2.0,great job security it s a huge organization and chances of termination is literally will until unless you are very weak performer or causes any damages to companies reputation you will get chance to work in very reputed projects which will help you to build the career there will always have one kind respect for being working in industry leader organization,no work life balance there is only one life which is your work getting a leave is very difficult you have to work on sundays and public holidays too otherwise you will be rate poor performer and once you comes in that category there is no future further
1142,Assistant Manager Safety,Kolkata,Full Time,Community Health & Safety Department,8 May 2023,4.0,3.0,4.0,3.0,4.0,3.0,4.0,it is a recognize company having great carrier opportunity to be best in your own field,dislike about the management after getting promotion of ma salary will be reduced and adding reimbursement in etc which shows that i am getting good etc but actual scenario is different
1143,Logistics Executive,"GODREJ WATER SIDE BUILDING , TOWER-II,salt Lake ,sector-5, KOLKATA",Contractual,SCM & Logistics Department,7 Dec 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,as far as my opinion is concerned most third class work culture i have ever experienced in this company among others besides having a toxic environment to work surrounded by degraded cultured staffs myself being an off role employee has been working here since last 9 years but no one had ever felt my ardent necessity to becomeabsorbed in company s pay role nor i was given my due recognition except receiving discrimination and deprivation read more,if u are an off role employee you should keep yourself ready for being a pressure cooper with intolerable disrespect and less recognized stuff to be treated like a slave of british tenure please keep avoiding this company from being enrolled and suggest your close one not to be an employee in his her lifetime
