,Name,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
4632,Executive Marine Operations And Radio Officer,"Powai, Mumbai",Full Time,Accounting & Taxation Department,0 Oct 2022,3.0,1.0,2.0,2.0,1.0,1.0,1.0,infrastructure flexible working his,1 poor incitement 2 poor recognition
4633,Formwork Foreman,"Kanyakumari, Tamil Nadu",,Construction Engineering Department,0 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good gibb he,good verb of
4634,P&m Engineer,Delhi NCR,,Construction Engineering Department,2 May 2022,5.0,4.0,5.0,5.0,5.0,5.0,4.0,site engineer mechanical,official work engineer
4635,Division 1 Incharge RAPDRP Aligarh.,Ayodhya,,Construction Engineering Department,4 Feb 2022,4.0,1.0,3.0,4.0,4.0,3.0,4.0,job security is good salary is good and on time,waiting system is very bad and personal life is very much disturbed work pressure is very high
4636,Mis Executive And Vba Developer,"Navi Mumbai, Maharashtra",,Software Development Department,4 Jun 2022,2.0,5.0,2.0,2.0,1.0,1.0,2.0,good work culture,nothing as more
4637,Civil Site Engineer,Pune,,Construction Engineering Department,2 Apr 2022,4.0,2.0,4.0,5.0,5.0,2.0,4.0,excellent for future development of career,the work culture is quite hectic
4638,Planning Engineer,Surat,,Construction / Manufacturing Department,8 Apr 2022,4.0,1.0,4.0,2.0,5.0,4.0,4.0,job security and company benefits,work life balance
4639,Regional Manager,Ahmedabad,,Marketing Department,3 Jun 2022,4.0,2.0,3.0,5.0,2.0,2.0,5.0,growth and compensation,work life balance
4640,Civil Site Supervisor,Mumbai Suburban,Full Time,Construction Engineering Department,3 May 2022,4.0,3.0,5.0,5.0,4.0,5.0,4.0,good work environment and culture teammates are suppurative,nothing
4641,Chargehand,Chennai,Full Time,Construction Engineering Department,3 Apr 2022,4.0,4.0,4.0,5.0,5.0,4.0,3.0,good communication with discharge job secured,time table was not be good
4642,Administration Manager,Surat,,Administration Department,3 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,excellent culture and policies,nothing
4643,Senior Construction Manager,Mumbai,,Construction Engineering Department,5 Jul 2022,5.0,4.0,5.0,5.0,5.0,4.0,4.0,management company policies,the company is open for innovation and adopt new technology its motor was quality is the best business strategy the management team was good behavior the millions of workers works with fully safety protection
4644,Document Controller,Kochi/Cochin,,Billing & Planning Department,1 Feb 2022,4.0,5.0,4.0,5.0,4.0,5.0,5.0,the work pressure is very high growth is slow,i completed 1 year till now i did nothing done any work on my skill
4645,Front End Developer,Vadodara,,Software Development Department,1 Apr 2022,2.0,2.0,2.0,3.0,2.0,2.0,2.0,formalities work are there,good working culture
4646,Agm Operations,"Surat, Gujarat",,Engineering Department,5 Jun 2022,4.0,2.0,3.0,4.0,4.0,4.0,3.0,working he are more,gaining knowledge day by day
4647,Quality Control Engineer,Hyderabad,,Civil Engineering Department,7 Mar 2022,5.0,3.0,5.0,5.0,5.0,4.0,5.0,work life balance,good place to increase my skill development
4648,Branch Manager,"Moran, Assam",,Micro Finance Department,4 May 2022,4.0,4.0,4.0,5.0,3.0,4.0,4.0,no,our site work is good
4650,Planning Assistant.,"Barauni, Bihar",Full Time,,8 Aug 2022,4.0,4.0,4.0,4.0,3.0,4.0,3.0,good,salary increament is slow
4651,Construction Manager Civil,Delhi NCR,Full Time,Construction Engineering Department,8 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,company policies and job security,nothing
4652,Toll Collector   (working remotely),,Full Time,Cash Counter Department,3 May 2022,5.0,5.0,5.0,4.0,5.0,5.0,5.0,dear sir am year experience please request me the job toll collector,this is good company
4653,Cnc Operator   (working remotely),,Full Time,"Operations, Maintenance & Support Department",8 Jun 2022,5.0,4.0,4.0,4.0,4.0,4.0,3.0,good working place,i liked
4654,Finance Executive,Purnia Bihar,,Finanance Department,6 May 2022,5.0,4.0,5.0,4.0,4.0,5.0,5.0,this company is good salary is decent but career growth is slow,nothing is liable here in this company
